[2025-08-27T14:43:57.410Z] [DEBUG] ✅ Created booking: 1763609f-34e4-4bbd-87be-898a39b512f6 (cancelled, 10 NOK)
[2025-08-27T14:43:57.419Z] [DEBUG] ✅ Created booking: 3920843b-738f-496d-8d0e-9c54ec696939 (cancelled, 10 NOK)
[2025-08-27T14:43:57.427Z] [DEBUG] ✅ Created booking: 4bbd6832-c31f-4456-a5c8-298fb2ed88ab (completed, 228 NOK)
[2025-08-27T14:43:57.435Z] [DEBUG] ✅ Created booking: 4fbb10f5-35c9-40d4-a9ab-31af521c7799 (completed, 118 NOK)
[2025-08-27T14:43:57.443Z] [DEBUG] ✅ Created booking: 5107388a-26c7-48fa-8e43-efde6803c5d8 (cancelled, 100 NOK)
[2025-08-27T18:48:58.879Z] [DEBUG] ✅ Created booking: 1763609f-34e4-4bbd-87be-898a39b512f6 (cancelled, 10 NOK)
[2025-08-27T18:48:58.883Z] [DEBUG] ✅ Created booking: 3920843b-738f-496d-8d0e-9c54ec696939 (cancelled, 10 NOK)
[2025-08-27T18:48:58.885Z] [DEBUG] ✅ Created booking: 4bbd6832-c31f-4456-a5c8-298fb2ed88ab (completed, 228 NOK)
[2025-08-27T18:48:58.886Z] [DEBUG] ✅ Created booking: 4fbb10f5-35c9-40d4-a9ab-31af521c7799 (completed, 118 NOK)
[2025-08-27T18:48:58.887Z] [DEBUG] ✅ Created booking: 5107388a-26c7-48fa-8e43-efde6803c5d8 (cancelled, 100 NOK)
